outcome,learner,group,n,predicted_cate,realized_ate,se,ci_lo,ci_hi
conversion,t_learner,4,100000,9.322092008529545e-05,8.241887627749258e-05,3.115030676414321e-05,2.136539691239745e-05,0.0001434723556425877
conversion,t_learner,5,100000,0.00010717631876771306,-7.904816615098253e-06,7.171734593980416e-05,-0.0001484682317239143,0.0001326585984937178
conversion,t_learner,6,100000,0.0001235984035848801,-7.821377088662989e-05,0.00011929243759892497,-0.00031202265220851464,0.00015559511043525487
conversion,t_learner,7,100000,0.00019796201440873927,9.205886607847641e-05,0.00010647791573353784,-0.00011663401390814854,0.00030075174606510133
conversion,t_learner,8,100000,0.0004123161102593969,0.00011627535765515787,0.0001775860984758072,-0.00023178699951240767,0.0004643377148227234
conversion,t_learner,9,100000,0.0010989047300150603,0.0007093262098410566,0.00022229215299796994,0.00027364159591916805,0.0011450108237629451
conversion,t_learner,10,100000,0.016909736729976723,0.006703306110729709,0.0010587795822471966,0.00462813626195884,0.008778475959500579
conversion,x_learner,1,100000,-0.005753795000818488,0.0016509522288178733,0.0006355935020193696,0.00040521185605222275,0.0028966926015835236
conversion,x_learner,2,100000,-3.9563405587658253e-07,-8.963219980507431e-06,0.00012344031525946623,-0.0002509017921293313,0.00023297535216831644
conversion,x_learner,3,100000,6.862081683229819e-05,5.196898111453784e-05,7.572542041509168e-05,-9.6450115613196e-05,0.00020038807784227168
conversion,x_learner,4,100000,8.656978108351912e-05,8.243731819627148e-05,3.115727666175744e-05,2.1370178082876537e-05,0.00014350445830966642
conversion,x_learner,5,100000,0.0001028767469552609,5.212361579553531e-05,7.562936169825169e-05,-9.610720930679104e-05,0.00020035444089786165
conversion,x_learner,6,100000,0.00012085037563122175,-3.1737617426242076e-05,0.00012194261543652609,-0.00027074075186245126,0.0002072655170099671
conversion,x_learner,7,100000,0.0001609682745677354,0.00013588522838786944,8.124478325066369e-05,-2.3351620715194427e-05,0.0002951220774909333
conversion,x_learner,8,100000,0.00031992022533291803,6.283668862867744e-05,0.0001778401488237163,-0.00028572359807104976,0.00041139697532840464
conversion,x_learner,9,100000,0.0010126438821134892,0.0008971050692705588,0.00023932460056904275,0.0004280374715408009,0.0013661726670003167
conversion,x_learner,10,100000,0.01427292878457126,0.007269179796858309,0.0011099993108157167,0.005093621124795223,0.009444738468921396
conversion,dr_learner,1,100000,-0.00797409672982906,0.0039006105303438805,0.0006817004118528163,0.002564502274866239,0.005236718785821522
conversion,dr_learner,2,100000,6.155162172879603e-05,9.411100392913441e-05,3.327189450806669e-05,2.889928899590767e-05,0.00015932271886236115
conversion,dr_learner,3,100000,7.594029153346845e-05,0.0001178092197495376,3.725257128389086e-05,4.4795521701600466e-05,0.00019082291779747474
conversion,dr_learner,4,100000,8.635829604042575e-05,-7.2234199597906e-05,9.646441378643778e-05,-0.00026130097640909313,0.00011683257721328109
conversion,dr_learner,5,100000,0.00010517347115928558,0.0001295565632177139,3.90604730985889e-05,5.299944272538402e-05,0.0002061136837100438
conversion,dr_learner,6,100000,0.00011312712026151477,1.73166269107831e-05,7.241764540827914e-05,-0.00012461934993463644,0.00015925260375620264
conversion,dr_learner,7,100000,0.00014052220060200733,-5.723987195551555e-07,0.00014152603251358422,-0.0002779583253210249,0.0002768135278819146
conversion,dr_learner,8,100000,0.0002377780195917972,0.00018910329109053485,0.00017938917288606857,-0.00016249302698258873,0.0005406996091636585
conversion,dr_learner,9,100000,0.0006692198757964878,0.0008854744866990577,0.00021692975189928926,0.00046029998580124137,0.001310648987596874
conversion,dr_learner,10,100000,0.016358983255867755,0.004893874358075891,0.0010930805915267323,0.0027514757664837577,0.0070362729496680244
conversion,causal_forest,1,100000,-0.0014728165811144034,0.0009130425263315173,0.00026127075386266627,0.00040096125854706215,0.0014251237941159726
conversion,causal_forest,2,100000,0.0,5.8998442441119555e-05,2.638428289096229e-05,7.2861982169171276e-06,0.00011071068666532199
conversion,causal_forest,3,100000,0.0,4.072632957802385e-05,7.444933288839754e-05,-0.0001051916815562687,0.0001866443407123164
conversion,causal_forest,4,100000,0.0,8.242858152186712e-05,3.1153974742550236e-05,2.1367913051198152e-05,0.0001434892499925361
conversion,causal_forest,5,100000,0.0,-5.952504918894824e-05,9.663296995308162e-05,-0.0002489221900161294,0.00012987209163823292
conversion,causal_forest,6,100000,1.4522206236094872e-05,5.459061993263843e-05,0.00010551898146160693,-0.0001522227834174608,0.00026140402328273763
conversion,causal_forest,7,100000,0.00015914386507423712,5.1161499018930704e-05,0.00016061282925692287,-0.0002636338617797192,0.0003659568598175806
conversion,causal_forest,8,100000,0.0005768133686742718,0.00045043527233049556,0.00020478134774668148,4.907120604142728e-05,0.0008517993386195639
conversion,causal_forest,9,100000,0.0015498469454551607,0.0005827418069371262,0.0003002528771702921,-5.743018571174982e-06,0.0011712266324454272
conversion,causal_forest,10,100000,0.008785959180005408,0.0075135967531642575,0.001250874631292244,0.005061927526656639,0.009965265979671876
