arm,mechanism,severity,outcome,replicate,n_kept,treated_share_kept,naive,outcome_regression,ipw,aipw
primary,confounded_assignment,0.5,visit,10,497271,0.8466671090813661,0.0495826782531492,0.009094702992872265,0.005128003182303609,0.008370936279330872
primary,confounded_assignment,0.5,visit,11,497535,0.8471283427296572,0.050514406764117004,0.009906447772857955,0.006753006105694036,0.009388019378066766
primary,confounded_assignment,0.5,visit,12,497749,0.8469570004158723,0.05006039108644414,0.011490792480297603,0.010350430306301617,0.011784951939093832
primary,confounded_assignment,0.5,visit,13,495749,0.8472896566609313,0.0497638056302146,0.009474329281409666,0.005761521517943721,0.008602364714031852
primary,confounded_assignment,0.5,visit,14,496541,0.8466632161291817,0.04997413455846539,0.009786172505582948,0.006380251477718729,0.009142436135701502
primary,confounded_assignment,0.5,visit,15,496848,0.8469692944321,0.05061714130142034,0.012939641619079432,0.011945387096660036,0.013186343090535325
primary,confounded_assignment,0.5,visit,16,496595,0.8469316042247707,0.050408105233302705,0.009615213961685957,0.0068657860864579714,0.008894135219773712
primary,confounded_assignment,0.5,visit,17,497097,0.8473316073120538,0.05043630855148484,0.011749417507904177,0.009999624972762543,0.012067351021401421
primary,confounded_assignment,0.5,visit,18,497631,0.8472442432243972,0.04959510782591699,0.009802882412727795,0.006343929552841479,0.008333687636122916
primary,confounded_assignment,0.5,visit,19,496705,0.84640178778148,0.05041460422516258,0.010153732853186749,0.008028690427086205,0.009333582048222195
primary,confounded_assignment,1.0,visit,0,486055,0.8373743712131343,0.07079237830858223,0.015257304761568363,0.024141735885075344,0.015379975376687654
primary,confounded_assignment,1.0,visit,1,484448,0.8371858279939229,0.07129497937185098,0.015066660380319761,0.023380545232969625,0.014727942921321117
primary,confounded_assignment,1.0,visit,2,484727,0.8369721513346688,0.07081224306017994,0.014614849895752902,0.02085602984065256,0.01404094362394468
primary,confounded_assignment,1.0,visit,3,484620,0.8370537740910404,0.07105450214010525,0.013105437746305237,0.02192927172414861,0.01272531890489204
primary,confounded_assignment,1.0,visit,4,485325,0.8373378663782002,0.07095416282275843,0.016628897896229698,0.02470984655087441,0.01624059625178837
primary,confounded_assignment,1.0,visit,5,485373,0.8372426978838955,0.07085617837110204,0.013329413694840192,0.023180764364930675,0.01485013371369358
primary,confounded_assignment,1.0,visit,6,485444,0.83693896721352,0.07081758848666225,0.012636095263391595,0.019016462296725267,0.011381965441799795
primary,confounded_assignment,1.0,visit,7,485532,0.8378726839837539,0.0710230619376512,0.0136171744511628,0.021951152112565847,0.012915810087326545
primary,confounded_assignment,1.0,visit,8,484850,0.8371785088171599,0.07140492883918757,0.015922844330320877,0.0238039474707751,0.013989322139887456
primary,confounded_assignment,1.0,visit,9,485203,0.8374000160757457,0.07146307169083033,0.011407540892856446,0.020322147484634602,0.010763113916895597
primary,confounded_assignment,1.0,visit,10,485501,0.837431848750054,0.07095276342379597,0.01714160427491306,0.023745713111917692,0.016859959901452882
primary,confounded_assignment,1.0,visit,11,485471,0.8374980173892982,0.07184676998749938,0.019038601620012002,0.02628377688023125,0.018527485553157218
primary,confounded_assignment,1.0,visit,12,485880,0.8372478801350127,0.07069600010709112,0.01441156419057067,0.02150921647342984,0.014621340946180856
primary,confounded_assignment,1.0,visit,13,484102,0.8381146948370385,0.07109480506372111,0.011233957965146727,0.02112950280647511,0.011174310678393425
primary,confounded_assignment,1.0,visit,14,484440,0.8373792420113946,0.07112277308078503,0.01437333519994278,0.022072128338560724,0.014879314556752957
primary,confounded_assignment,1.0,visit,15,485017,0.8377335227425018,0.07130552435795172,0.017342952384780612,0.024013625730525817,0.01627819835152638
primary,confounded_assignment,1.0,visit,16,484884,0.8375962085777217,0.07125407942152796,0.015019896792128583,0.02436379563343944,0.015260789426987463
primary,confounded_assignment,1.0,visit,17,485735,0.8378663262890259,0.07136479232829719,0.016607534269791398,0.0238890268590128,0.01580097386975841
primary,confounded_assignment,1.0,visit,18,485930,0.8378778836457926,0.07068396977522594,0.011767388896974814,0.020535084915706076,0.011754325894400315
primary,confounded_assignment,1.0,visit,19,484999,0.8371646127105417,0.07157781515348775,0.011390585157444687,0.022387847829889486,0.011362121213687884
primary,confounded_assignment,1.5,visit,0,470434,0.8245471203186845,0.08350906067171471,0.018496506540371323,0.038686364877968386,0.01928146264215477
primary,confounded_assignment,1.5,visit,1,468620,0.8243118091417353,0.08446501485376386,0.018713284688970887,0.03949538374562541,0.020352739615799146
primary,confounded_assignment,1.5,visit,2,468891,0.8238695133837075,0.08365215852756949,0.023448866548851123,0.03995107371974037,0.02344298477671708
primary,confounded_assignment,1.5,visit,3,468929,0.8240160024225416,0.08409098639205062,0.02104683942216523,0.0384056442394809,0.020272584043946273
primary,confounded_assignment,1.5,visit,4,469059,0.8243227397832682,0.08374597360891642,0.018398258277759105,0.03933768721538073,0.0188844271314199
primary,confounded_assignment,1.5,visit,5,469855,0.8243670919751839,0.08365741932206758,0.018868221957635996,0.037468027839167375,0.019426459986951593
primary,confounded_assignment,1.5,visit,6,469889,0.8239584242235932,0.0840721749876539,0.014475510761440472,0.036304671145738335,0.013012000915739242
primary,confounded_assignment,1.5,visit,7,469531,0.824642036415061,0.08386801536610085,0.013622401220715482,0.03701739379679274,0.01463853429285948
primary,confounded_assignment,1.5,visit,8,468868,0.824138136959656,0.08456699421343625,0.026046273189835753,0.041809234261697005,0.025767142940070643
primary,confounded_assignment,1.5,visit,9,469337,0.8243287872040772,0.08471418178555144,0.019115897930895544,0.03918452952913909,0.017734068419887936
primary,confounded_assignment,1.5,visit,10,469668,0.8241694132876841,0.08394297212026319,0.023792664431487875,0.039525528967498065,0.023670994241012926
primary,confounded_assignment,1.5,visit,11,469412,0.824420764701371,0.08432794116494488,0.025694557978960388,0.04235832540203569,0.025941532839286453
primary,confounded_assignment,1.5,visit,12,469894,0.8237708930099129,0.083931784677302,0.017298086892934248,0.036952266328206106,0.017759628712130687
primary,confounded_assignment,1.5,visit,13,468702,0.8248332629261237,0.08378621179547563,0.015320225542885722,0.03558653954118259,0.014450157245875662
primary,confounded_assignment,1.5,visit,14,468502,0.8241288190872184,0.0842690360950291,0.020816225693116076,0.037295038875243644,0.01971168471310073
